Company Name,Symbol,Industry,Series,Open,High,Low,Previous Close,Last Traded Price,Change,Percentage Change,Share Volume,Value (Indian Rupee),52 Week High,52 Week Low,365 Day Percentage Change,30 Day Percentage Change
Aarti Drugs Ltd.,AARTIDRUGS,Healthcare,EQ,400.5,401.8,394.1,403.85,400,-3.85,-3.85,31782,12627306.42,749.75,378,-3.85,-3.85
Aavas Financiers Ltd.,AAVAS,Financial Services,EQ,1997.1,2004.05,1894.5,2015.45,1943.15,-72.3,-72.3,150704,290772818.7,3340,1815,-72.3,-72.3
ABB India Ltd.,ABB,Capital Goods,EQ,2260.35,2311.5,2260.35,2300.9,2280,-20.9,-20.9,97053,221093527.7,2487.85,1618.05,-20.9,-20.9
Abbott India Ltd.,ABBOTINDIA,Healthcare,EQ,18700.4,19200,18605,18760.4,19199.8,439.4,439.4,12396,234676981.3,23934.45,15514,439.4,439.4
Aditya Birla Capital Ltd.,ABCAPITAL,Financial Services,EQ,89,90.6,88.35,89.4,90.25,0.85,0.85,2401323,215182554,139.2,85.6,0.85,0.85
Aditya Birla Fashion and Retail Ltd.,ABFRL,Consumer Services,EQ,235.6,243.5,235.6,237.05,242.2,5.15,5.15,1014277,243548193.2,322,189.35,5.15,5.15
Aditya Birla Sun Life AMC Ltd.,ABSLAMC,Financial Services,EQ,400.05,406.7,400,400.05,405.9,5.85,5.85,34489,13901826.12,722.9,375,5.85,5.85
ACC Ltd.,ACC,Construction Materials,EQ,2122.95,2174,2122.95,2121.95,2171.7,49.75,49.75,284645,613620612.3,2589,1900,49.75,49.75
Adani Enterprises Ltd.,ADANIENT,Metals & Mining,EQ,2189.9,2242,2138.25,2190.9,2229.25,38.35,38.35,2141743,4695578771,2420.95,1332.75,38.35,38.35
Adani Green Energy Ltd.,ADANIGREEN,Power,EQ,1928,1978.9,1902,1929.6,1963.25,33.65,33.65,1206875,2344656406,3050,874.8,33.65,33.65
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS,Services,EQ,670,680,656,672.05,678.3,6.25,6.25,3151179,2105491761,924.65,651.95,6.25,6.25
Adani Transmission Ltd.,ADANITRANS,Power,EQ,2500,2583.7,2226.3,2473.65,2452,-21.65,-21.65,741152,1847854989,3000,863,-21.65,-21.65
Advanced Enzyme Tech Ltd.,ADVENZYMES,Fast Moving Consumer Goods,EQ,266.2,268.7,258.4,266.2,264,-2.2,-2.2,40076,10549606.24,435.95,258.4,-2.2,-2.2
Aegis Logistics Ltd.,AEGISCHEM,Oil Gas & Consumable Fuels,EQ,208.7,212.6,205.15,209,211.45,2.45,2.45,247355,51731824.7,386,167.25,2.45,2.45
Affle (India) Ltd.,AFFLE,Information Technology,EQ,1060,1060.3,1004.65,1060.3,1010,-50.3,-50.3,241660,246983769.8,1511,763.02,-50.3,-50.3
AIA Engineering Ltd.,AIAENG,Capital Goods,EQ,2233.8,2242.45,2170.2,2223.8,2210,-13.8,-13.8,42620,94240491.6,2350,1475.05,-13.8,-13.8
Ajanta Pharmaceuticals Ltd.,AJANTPHARM,Healthcare,EQ,1233,1275.05,1229.35,1235.6,1265.9,30.3,30.3,109740,137293519.2,2435,1186,30.3,30.3
Alkem Laboratories Ltd.,ALKEM,Healthcare,EQ,2995,3035,2970.95,2998.55,3011.25,12.7,12.7,21837,65524757.31,4070,2828,12.7,12.7
Alkyl Amines Chemicals Ltd.,ALKYLAMINE,Chemicals,EQ,2525,2609.9,2506.2,2517.65,2552.85,35.2,35.2,26377,67248425.27,4749,2506.2,35.2,35.2
Allcargo Logistics Ltd.,ALLCARGO,Services,EQ,259,271.5,256,262.95,269,6.05,6.05,502907,133391052.7,412,152.5,6.05,6.05
